,source,target
0,1,4048
1,1,7073
2,2,6790
3,2,3152
4,2,841
5,2,656
6,2,8766
7,2,2359
8,3,3295
9,3,5376
10,3,4231
11,3,1051
12,4,5608
13,4,5778
14,4,6582
15,5,1723
16,5,4176
17,6,2768
18,6,1417
19,6,6760
20,7,3918
21,7,1463
22,8,8415
23,8,7866
24,8,1766
25,8,6759
26,9,3956
27,9,6952
28,9,8195
29,9,8079
30,9,5108
31,9,8783
32,9,4329
33,9,3478
34,9,8681
35,10,8505
36,10,745
37,11,8889
38,11,5539
39,12,5469
40,13,6375
41,13,13
42,13,4324
43,13,7128
44,14,3581
45,14,276
46,15,5394
47,16,61
48,16,8899
49,16,7443
50,17,7551
51,17,9064
52,18,1941
53,18,1715
54,19,8143
55,19,1327
56,19,5495
57,20,5466
58,20,5381
59,21,2923
60,21,8574
61,22,2694
62,22,6148
63,22,1391
64,22,224
65,23,7715
66,23,3519
67,23,6714
68,24,9084
69,24,4885
70,24,5328
71,24,3802
72,24,2688
73,24,7485
74,25,2062
75,25,2236
76,26,5091
77,26,7947
78,27,5242
79,27,3191
80,28,5913
81,28,6865
82,28,911
83,28,8916
84,29,34
85,29,60
86,29,3717
87,29,3506
88,29,5744
89,29,9087
90,29,8521
91,29,8476
92,29,4774
93,29,8123
94,29,1586
95,29,8646
96,29,8433
97,30,6744
98,30,7945
99,31,5064
100,31,6871
101,32,178
102,32,486
103,32,3686
104,32,8403
105,32,7326
106,32,579
107,32,32
108,32,4428
109,32,712
110,33,8912
111,33,3155
112,33,479
113,34,7676
114,35,3889
115,35,4235
116,36,7878
117,36,1849
118,37,4269
119,37,698
120,37,2541
121,38,7803
122,38,5675
123,38,6455
124,38,3886
125,38,3484
126,39,3459
127,39,6563
128,39,8247
129,39,3114
130,39,5812
131,40,6839
132,40,8752
133,40,1960
134,40,2064
135,41,8651
136,41,9002
137,41,4314
138,41,3219
139,41,8178
140,42,2661
141,42,957
142,43,6215
143,43,294
144,44,438
145,45,1328
146,45,2295
147,45,1688
148,46,6287
149,46,2491
150,47,1760
151,47,1221
152,47,4109
153,48,1511
154,48,783
155,48,4673
156,49,1364
157,49,3979
158,50,1196
159,50,3736
160,51,2042
161,51,4373
162,52,4569
163,52,3436
164,53,627
165,53,4939
166,54,4824
167,54,703
168,55,590
169,55,5831
170,55,6623
171,55,7979
172,55,6578
173,55,6519
174,55,7513
175,55,1774
176,56,5223
177,56,1069
178,57,3615
179,57,4247
180,58,3717
181,58,7337
182,59,891
183,59,3896
184,59,364
185,60,4917
186,61,4719
187,62,548
188,62,5979
189,62,3920
190,62,3205
191,62,3601
192,62,3360
193,63,3219
194,63,5440
195,63,6455
196,63,5826
197,63,961
198,64,6537
199,64,8662
200,64,4285
201,65,1319
202,65,4914
203,66,3315
204,66,2529
205,67,4903
206,67,7920
207,67,8017
208,67,2351
209,67,493
210,68,3356
211,68,8094
212,69,7012
213,69,9080
214,69,4387
215,69,3581
216,69,4533
217,70,2006
218,70,70
219,70,901
220,71,8093
221,71,552
222,72,4600
223,72,8723
224,72,3194
225,72,2232
226,72,992
227,73,585
228,73,5395
229,74,7175
230,74,2661
231,75,2055
232,75,8543
233,75,7529
234,76,5113
235,76,2875
236,77,1790
237,77,77
238,78,8405
239,79,7323
240,79,5591
241,79,4984
242,79,592
243,79,3431
244,79,2092
245,79,6531
246,79,4462
247,79,3057
248,79,8329
249,80,8805
250,80,7139
251,81,8088
252,81,3442
253,82,2967
254,82,9218
255,83,8537
256,83,5594
257,84,2970
258,84,3884
259,85,4085
260,85,122
261,85,6929
262,86,2397
263,86,2055
264,87,5796
265,87,7219
266,87,7551
267,88,4407
268,88,556
269,89,7788
270,89,3816
271,89,2865
272,89,3296
273,90,4696
274,90,9007
275,90,7743
276,90,7172
277,90,3830
278,90,8240
279,90,5420
280,91,2851
281,91,7622
282,92,7224
283,92,6002
284,93,7797
285,93,7554
286,93,6383
287,93,6800
288,94,6962
289,94,8874
290,94,7188
291,94,643
292,95,2656
293,95,7783
294,96,6342
295,96,5978
296,96,1483
297,97,628
298,97,1169
299,98,8138
300,98,7294
301,99,223
302,99,1321
303,99,891
304,99,8436
305,100,379
306,100,5794
307,101,6216
308,101,8862
309,102,2600
310,102,3460
311,103,8586
312,103,6263
313,104,2029
314,104,3420
315,104,2666
316,105,4440
317,105,4660
318,106,3120
319,107,8427
320,107,5540
321,108,6548
322,108,5766
323,109,8300
324,109,6554
325,109,864
326,109,3927
327,109,2626
328,110,8904
329,110,4726
330,110,6603
331,111,6988
332,112,7890
333,112,8656
334,112,8046
335,112,9100
336,113,2632
337,113,4665
338,114,5479
339,114,114
340,114,8335
341,114,3051
342,115,2434
343,115,7590
344,116,2147
345,116,3172
346,117,4418
347,117,4029
348,117,5993
349,117,5314
350,118,2494
351,118,5437
352,118,6759
353,118,7291
354,119,466
355,119,5191
356,120,5830
357,120,3646
358,120,4848
359,120,5847
360,120,2178
361,120,2409
362,120,4763
363,120,6991
364,121,8107
365,121,8661
366,122,2775
367,122,6453
368,122,3891
369,123,4533
370,123,8746
371,124,9220
372,124,8091
373,125,2525
374,125,3101
375,126,1938
376,126,3951
377,126,1735
378,126,5740
379,126,9209
380,127,2949
381,127,5236
382,128,3281
383,128,8639
384,128,4627
385,129,634
386,129,5521
387,129,5324
388,129,8566
389,129,3018
390,129,2237
391,130,3803
392,130,8744
393,130,8702
394,130,5894
395,131,4854
396,131,8008
397,132,3769
398,132,4530
399,132,7236
400,132,132
401,132,4379
402,132,2246
403,132,354
404,132,2912
405,133,7330
406,133,3200
407,133,4767
408,133,1289
409,133,3475
410,133,8252
411,134,4842
412,134,6516
413,135,1743
414,135,3767
415,135,7129
416,135,9127
417,136,6851
418,136,4791
419,136,3813
420,137,7688
421,137,1109
422,138,4190
423,138,9010
424,139,1449
425,140,2769
426,141,4196
427,141,1315
428,141,3840
429,141,426
430,141,4364
431,142,2539
432,142,7589
433,143,8878
434,143,3018
435,144,291
436,144,7966
437,144,2417
438,145,7818
439,145,5583
