source,target
1,4048
1,7073
2,6790
2,3152
2,841
2,656
2,8766
2,2359
3,3295
3,5376
3,4231
3,1051
4,5608
4,5778
4,6582
5,1723
5,4176
6,2768
6,1417
6,6760
7,3918
7,1463
8,8415
8,7866
8,1766
8,6759
9,3956
9,6952
9,8195
9,8079
9,5108
9,8783
9,4329
9,3478
9,8681
10,8505
10,745
11,8889
11,5539
12,5469
13,6375
13,13
13,4324
13,7128
14,3581
14,276
15,5394
16,61
16,8899
16,7443
17,7551
17,9064
18,1941
18,1715
19,8143
19,1327
19,5495
20,5466
20,5381
21,2923
21,8574
22,2694
22,6148
22,1391
22,224
23,7715
23,3519
23,6714
24,9084
24,4885
24,5328
24,3802
24,2688
24,7485
25,2062
25,2236
26,5091
26,7947
27,5242
27,3191
28,5913
28,6865
28,911
28,8916
29,34
29,60
29,3717
29,3506
29,5744
29,9087
29,8521
29,8476
29,4774
29,8123
29,1586
29,8646
29,8433
30,6744
30,7945
31,5064
31,6871
32,178
32,486
32,3686
32,8403
32,7326
32,579
32,32
32,4428
32,712
33,8912
33,3155
33,479
34,7676
35,3889
35,4235
36,7878
36,1849
37,4269
37,698
37,2541
38,7803
38,5675
38,6455
38,3886
38,3484
39,3459
39,6563
39,8247
39,3114
39,5812
40,6839
40,8752
40,1960
40,2064
41,8651
41,9002
41,4314
41,3219
41,8178
42,2661
42,957
43,6215
43,294
44,438
45,1328
45,2295
45,1688
46,6287
46,2491
47,1760
47,1221
47,4109
48,1511
48,783
48,4673
49,1364
49,3979
50,1196
50,3736
51,2042
51,4373
52,4569
52,3436
53,627
53,4939
54,4824
54,703
55,590
55,5831
55,6623
55,7979
55,6578
55,6519
55,7513
55,1774
56,5223
56,1069
57,3615
57,4247
58,3717
58,7337
59,891
59,3896
59,364
60,4917
61,4719
62,548
62,5979
62,3920
62,3205
62,3601
62,3360
63,3219
63,5440
63,6455
63,5826
63,961
64,6537
64,8662
64,4285
65,1319
65,4914
66,3315
66,2529
67,4903
67,7920
67,8017
67,2351
67,493
68,3356
68,8094
69,7012
69,9080
69,4387
69,3581
69,4533
70,2006
70,70
70,901
71,8093
71,552
72,4600
72,8723
72,3194
72,2232
72,992
73,585
73,5395
74,7175
74,2661
75,2055
75,8543
75,7529
76,5113
76,2875
77,1790
77,77
78,8405
79,7323
79,5591
79,4984
79,592
79,3431
79,2092
79,6531
79,4462
79,3057
79,8329
80,8805
80,7139
81,8088
81,3442
82,2967
82,9218
83,8537
83,5594
84,2970
84,3884
85,4085
85,122
85,6929
86,2397
86,2055
87,5796
87,7219
87,7551
88,4407
88,556
89,7788
89,3816
89,2865
89,3296
90,4696
90,9007
90,7743
90,7172
90,3830
90,8240
90,5420
91,2851
91,7622
92,7224
92,6002
93,7797
93,7554
93,6383
93,6800
94,6962
94,8874
94,7188
94,643
95,2656
95,7783
96,6342
96,5978
96,1483
97,628
97,1169
98,8138
98,7294
99,223
99,1321
99,891
99,8436
100,379
100,5794
101,6216
101,8862
102,2600
102,3460
103,8586
103,6263
104,2029
104,3420
104,2666
105,4440
105,4660
106,3120
107,8427
107,5540
108,6548
108,5766
109,8300
109,6554
109,864
109,3927
109,2626
110,8904
110,4726
110,6603
111,6988
112,7890
112,8656
112,8046
112,9100
113,2632
113,4665
114,5479
114,114
114,8335
114,3051
115,2434
115,7590
116,2147
116,3172
117,4418
117,4029
117,5993
117,5314
118,2494
118,5437
118,6759
118,7291
119,466
119,5191
120,5830
120,3646
120,4848
120,5847
120,2178
120,2409
120,4763
120,6991
121,8107
121,8661
122,2775
122,6453
122,3891
123,4533
123,8746
124,9220
124,8091
125,2525
125,3101
126,1938
126,3951
126,1735
126,5740
126,9209
127,2949
127,5236
128,3281
128,8639
128,4627
129,634
129,5521
129,5324
129,8566
129,3018
129,2237
130,3803
130,8744
130,8702
130,5894
131,4854
131,8008
132,3769
132,4530
132,7236
132,132
132,4379
132,2246
132,354
132,2912
133,7330
133,3200
133,4767
133,1289
133,3475
133,8252
134,4842
134,6516
135,1743
135,3767
135,7129
135,9127
136,6851
136,4791
136,3813
137,7688
137,1109
138,4190
138,9010
139,1449
140,2769
141,4196
141,1315
141,3840
141,426
141,4364
142,2539
142,7589
143,8878
143,3018
144,291
144,7966
144,2417
145,7818
145,5583
146,7982
146,8445
146,146
147,8476
147,2136
148,3975
148,3089
149,2496
149,429
150,2158
150,2209
151,3885
151,8341
151,4374
151,1639
152,3857
152,1812
153,757
153,2155
154,5284
154,9037
155,2540
155,1235
155,3179
156,9278
156,801
156,1046
156,1585
156,1075
157,1991
157,3357
157,1880
157,6008
157,157
157,2977
157,5240
157,9192
158,1778
158,158
159,2645
159,8162
160,1541
160,6992
160,300
161,1623
161,2050
162,8866
162,2931
163,5594
163,3029
164,8008
164,414
165,9076
165,5799
166,1367
166,902
167,7430
167,3116
168,7376
168,1636
169,8126
169,1784
170,6126
170,5026
171,1493
171,2875
172,3464
172,8491
172,6486
172,7742
172,6133
172,4737
173,6542
173,3129
174,3841
174,620
174,2701
174,8114
175,1124
175,6565
176,188
176,5514
176,4126
176,374
176,3704
176,8715
177,6204
177,724
178,6637
178,7326
178,712
179,7828
179,4919
180,3382
180,7592
181,3953
181,8213
181,3227
181,4160
181,6826
182,6632
182,9214
183,1902
183,3261
184,6305
184,3522
184,3412
185,4806
185,9246
185,8029
185,4638
185,2870
185,6000
