source,target
1,4295
1,2374
2,8289
2,7232
3,2286
3,1783
4,7219
4,4847
4,877
4,7870
4,1830
5,1640
5,1732
5,5792
6,8628
6,3007
7,4885
7,8079
8,328
8,2099
8,4523
9,8347
9,9096
10,4297
10,6467
10,6664
10,542
11,5612
11,4908
12,5029
12,3663
13,3692
13,4816
13,2879
13,290
14,1842
14,2335
15,5209
15,7823
16,4268
16,6340
17,6679
17,3230
17,6677
17,7216
17,3689
17,8314
18,6805
18,9125
19,8304
19,6336
19,9176
19,19
20,2635
20,1314
21,2710
21,4556
21,3847
21,4815
21,3686
21,7928
21,8499
22,6633
22,3459
23,4836
23,3856
24,3932
24,5634
25,5369
25,5964
26,2863
26,7145
26,4828
26,1840
27,4943
27,8982
28,9025
28,7548
29,7509
29,6936
29,1113
30,4081
30,9095
31,6226
31,3957
32,8990
32,3974
32,9214
32,2783
32,32
32,5618
32,6018
33,38
33,4280
34,9220
34,8172
34,4051
34,8741
35,4475
35,8373
36,8261
36,7185
36,3120
36,8284
37,3146
37,2438
38,6092
39,7159
39,2020
40,5336
40,7369
41,4906
41,5932
41,3014
41,1472
42,9275
42,8384
43,7643
43,7150
44,5410
44,934
44,8678
44,8217
44,642
44,2966
44,6600
44,1028
44,636
44,5073
45,5911
45,5521
45,893
46,721
46,8885
47,1383
47,8466
47,4874
47,8129
47,3640
47,2202
47,1498
47,136
47,47
48,918
48,8365
48,4343
48,488
48,172
48,93
49,1447
49,1633
49,456
49,5979
49,3217
49,8884
50,2413
50,6191
50,2383
51,2322
51,9168
52,6758
52,2077
52,8949
53,3627
53,3345
53,2229
53,747
54,6041
54,6654
55,7316
55,491
56,4551
56,5231
56,6628
56,3376
56,4452
57,9202
57,8751
57,57
58,1965
58,6041
59,7645
59,2352
59,2453
60,5624
60,837
61,7638
61,6100
61,410
61,239
61,413
62,2386
62,1298
63,8176
63,7289
64,7561
64,3722
65,5596
65,1470
66,5055
66,242
66,4459
67,5034
67,6213
68,7519
68,6121
69,6550
69,8534
70,2764
70,7907
70,7510
71,4856
72,8386
72,6840
72,1826
72,6974
73,4742
73,6772
74,414
74,5169
75,6090
75,676
76,8383
76,3890
77,2750
77,8022
78,2173
79,5031
79,3529
80,6511
80,5221
80,1692
80,4395
80,2822
81,2615
81,2591
81,7302
81,3140
81,4961
82,8409
82,3147
83,1947
83,206
84,3522
84,5684
84,1349
85,221
85,5010
86,3736
86,5541
87,3234
88,7310
88,2620
88,534
88,6732
88,8408
89,6001
89,4820
89,8044
90,1565
90,2585
90,3976
91,2751
91,6938
91,1423
91,6606
92,7625
92,872
93,1091
93,93
93,2372
93,2399
93,8575
93,6559
93,7818
94,8211
94,3443
94,666
95,1095
95,9161
96,5502
96,8222
97,1464
97,7427
98,8463
98,4269
99,4347
99,4887
100,2203
100,2453
101,1968
101,2856
101,5745
101,4102
102,5568
102,212
103,6008
103,7757
103,6166
103,1110
103,1003
103,5229
103,3354
104,9089
104,8744
105,1615
105,2042
106,3867
106,8083
107,6026
107,6310
108,6164
108,4568
108,6979
108,2088
108,5715
109,9190
109,8109
109,586
109,786
109,1866
109,1829
109,2822
110,6146
110,110
110,9165
110,4065
111,4979
111,699
112,5704
112,4339
113,4273
113,1939
113,4021
113,692
113,6380
114,7452
114,3860
115,320
115,4306
116,575
116,3305
116,3853
116,7242
116,1057
117,1563
117,7591
117,2667
117,2133
117,8825
117,117
117,1484
118,2931
118,5745
118,7029
118,8095
118,3164
119,618
119,7519
120,5871
120,619
120,7609
121,8405
121,3566
122,8296
122,4348
122,5702
122,762
122,1838
123,1562
123,7709
124,8649
124,4033
125,6553
125,5805
126,7216
126,8423
126,3272
127,6114
127,4911
128,7314
128,6158
129,5519
129,6583
130,2570
130,257
131,5839
131,3030
131,6558
132,4248
132,7583
133,5105
133,6068
134,7607
134,134
135,2975
135,1529
136,8291
137,353
137,4118
138,6008
138,7101
138,1756
139,7400
139,7599
139,495
140,6240
140,7017
140,825
141,3052
141,4106
142,9184
142,3632
143,482
143,4465
143,2093
143,8445
143,7300
143,8477
143,6603
143,6607
143,4587
143,5754
143,8999
143,789
143,5481
143,1442
144,8450
144,7535
144,3352
144,1166
144,3559
145,1641
145,2968
145,990
145,1346
145,4996
145,442
145,1116
145,1588
146,4879
146,7845
146,2606
146,8763
147,8895
147,5714
148,753
148,908
149,7115
149,5725
150,6322
150,1278
151,4394
151,3367
152,3307
152,8122
152,7488
152,6368
152,3955
152,4151
152,9261
152,4014
152,8197
153,2098
154,8556
154,4500
154,4526
155,3408
155,1098
155,404
155,670
156,8882
156,7525
156,5793
157,7409
157,8801
158,4339
158,5839
159,1278
159,1798
160,4465
160,5210
160,752
160,4774
160,9181
160,5037
160,6733
160,3256
160,5622
160,7470
160,160
160,7928
161,6308
161,3690
161,6429
161,2639
161,7094
161,2548
161,2582
161,8662
161,5782
162,8772
162,3646
163,7506
163,4282
164,4470
164,2686
165,3280
165,281
166,5864
166,1149
167,1879
167,229
168,6597
168,5236
169,8975
169,6903
169,2095
169,6837
169,1284
169,7160
169,4628
169,3243
169,169
169,5650
169,7600
170,8322
170,9039
171,3342
171,2482
171,6146
171,4179
172,488
172,4343
172,918
173,3183
173,5979
173,2716
173,8639
173,3217
174,8003
174,3418
175,5797
175,2086
176,3475
176,2051
176,7441
176,5877
176,8130
177,4610
177,9048
178,4075
178,9254
179,7548
179,1090
180,3540
180,7979
181,1326
181,3209
182,8120
183,1966
183,184
184,6168
185,1726
185,3383
186,6483
186,8530
187,8184
187,6826
187,5314
187,7686
188,8378
188,8277
189,4464
189,6821
189,760
189,8234
189,4167
189,4053
190,5314
190,8662
191,5265
191,8355
192,5729
192,5559
192,4194
192,8033
193,5848
193,8196
194,7915
194,5633
194,194
194,3350
194,5813
194,5313
194,528
194,5293
195,7167
195,4351
195,4744
195,3643
195,1212
195,7696
196,8703
196,2144
196,7446
197,6460
197,2269
197,7977
198,7102
198,3450
199,5952
199,3625
199,2038
200,901
200,2004
201,5417
201,8043
202,5118
202,987
203,2463
203,5527
204,991
204,7218
205,2449
205,6307
206,4785
206,5541
206,6379
207,6489
207,470
208,8397
208,1040
209,3605
209,7783
210,2121
210,7049
211,7500
211,211
211,5592
212,4454
212,3198
212,2240
213,6574
213,8483
213,814
213,3944
213,6090
213,1649
214,331
214,5398
214,3319
215,8900
215,4710
216,6535
216,7533
217,8470
217,4217
217,7460
217,9148
217,7301
217,1482
217,6938
217,3614
217,9132
217,3803
217,824
218,966
218,1734
218,7456
218,713
219,7985
219,782
219,7317
219,6000
220,8100
220,6613
221,7490
221,2599
222,2310
222,7486
222,2679
222,2993
222,5906
222,1540
223,6818
223,5127
223,2185
223,7155
223,1190
223,3528
223,4467
223,5913
223,2679
224,5473
224,6799
224,8950
224,1890
225,7768
225,1724
225,8877
225,5003
226,5101
226,2516
227,812
227,4576
228,3795
228,910
228,5070
228,8718
228,2165
228,2106
229,8532
230,2020
230,6735
231,2513
231,1348
231,9207
231,8505
231,7000
231,4165
231,6230
231,7966
231,334
232,6474
232,7072
233,870
233,3582
234,2645
234,889
235,3347
235,3289
236,5686
236,6254
236,5369
237,7012
237,3476
237,1921
237,2572
238,9044
238,3501
238,3222
239,7468
239,7638
239,5057
239,2731
239,7645
239,258
239,2453
240,9053
240,3493
241,875
241,8189
241,6256
241,3112
241,1533
242,1194
242,4307
242,590
243,7599
243,1359
243,5346
244,7866
244,7059
245,5857
245,8417
246,4348
246,8357
246,5266
246,7978
246,762
247,3768
247,8537
247,1934
247,9133
247,3781
248,4725
248,3557
248,1466
248,4020
248,1299
248,2252
248,8696
249,8530
249,8773
250,7445
250,6631
251,9210
251,722
252,1167
252,2923
252,2610
252,5126
253,6823
253,4592
254,2803
254,4738
255,2669
255,1066
256,8021
256,8675
257,6129
258,4701
258,7885
259,1018
259,1201
259,879
259,8839
259,7472
260,7621
260,1489
261,3205
261,6685
261,261
261,2119
261,1623
261,5891
262,2658
262,5906
263,3842
263,5002
264,5639
264,8908
264,8397
264,4337
265,6358
265,610
266,5308
266,1406
267,5001
267,637
268,1505
268,268
269,4290
269,4657
270,3153
271,1640
271,8393
271,6510
271,7539
271,2606
271,4437
271,5792
271,316
271,1636
272,2179
272,8998
273,4062
273,2300
273,6175
273,5388
274,921
274,5387
275,2376
275,4430
275,812
276,4302
276,7289
277,6330
277,6334
277,1998
277,5383
277,6699
277,9009
277,4373
277,2177
278,8764
278,4247
278,3497
278,6036
278,9011
278,8045
279,3908
279,6002
280,2317
280,5256
281,788
282,8495
282,1666
282,6098
282,2116
283,4718
283,6478
284,2928
284,890
285,5630
285,3351
285,3258
286,7341
286,3034
286,4141
287,7280
287,7375
288,594
288,2757
288,2764
288,6945
288,6793
289,6807
289,2732
290,1527
291,7059
291,385
292,5551
292,5141
293,3743
293,4107
293,8118
293,8620
294,1903
294,5938
294,8245
295,3255
295,952
296,1269
296,1697
296,8694
297,2915
297,8545
298,742
298,7499
299,8606
299,920
300,2393
300,1432
301,7238
301,4351
301,4936
301,8047
302,4004
302,2325
303,5751
303,312
303,3705
303,2140
303,8680
303,342
303,8110
303,7622
304,1215
304,304
304,1288
305,467
305,6581
305,1816
305,6949
306,8977
306,6318
307,875
307,7999
307,3460
307,730
308,1401
309,2786
309,2036
309,5291
309,9136
310,6968
310,685
311,1600
311,6372
311,1159
311,2854
312,2605
312,7898
312,3616
312,3049
312,8110
312,1485
313,4792
313,2868
313,1489
314,1311
314,1744
314,5548
314,8692
314,7892
315,7766
315,5357
316,3947
316,7539
317,7217
317,9076
318,5125
318,8512
318,4449
